Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
275,Female,Below 20,Housewife,"$50,000 - $100,000",Rarely,Take away,Between 1 hour to 2 hours,No,Coffee;Pastries;Sandwiches,More than $20,2,3,3,2,2,3,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
276,Male,Below 20,Employed,"Less than $25,000",Never,Never ,Between 2 hours to 3 hours,Yes,Coffee;Pastries,Between $15-$20,5,5,4,4,1,2,4,In Store displays,No
277,Male,Below 20,Housewife,"$50,000 - $100,000",Rarely,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,2,4,1,3,2,2,5,Social Media,No
278,Female,Below 20,Housewife,"Less than $25,000",Rarely,Dine in,Below 30 minutes,No,Coffee,Between $15-$20,2,4,5,4,2,3,1,Social Media,Yes
279,Male,Above 40,Self-Employed,"$100,000-$150,000",Weekly,Take away,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,1,5,1,3,1,2,2,Social Media;Through friends and word of mouth;Billboards,Yes
280,Female,From 20 to 29,Employed,"$100,000-$150,000",Never,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,5,3,5,4,4,3,2,Social Media,No
281,Female,From 20 to 29,Self-Employed,"Less than $25,000",Daily,Dine in,Below 30 minutes,No,Cold drinks,Less than $10,4,4,4,3,5,4,4,Social Media,Yes
282,Female,Above 40,Self-Employed,"$50,000 - $100,000",Monthly,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,2,4,3,4,1,1,3,Starbucks Website/Apps;Social Media,Yes
283,Male,Below 20,Student,"$25,000 - $50,000",Daily,Dine in,Below 30 minutes,Yes,Cold drinks;Juices;Pastries,Between $10-$15,3,1,3,3,5,5,4,In Store displays,No
284,Female,From 20 to 29,Employed,"$100,000-$150,000",Weekly,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,4,5,1,4,2,3,Starbucks Website/Apps;Social Media,Yes
285,Male,Below 20,Employed,"Less than $25,000",Rarely,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,3,3,4,5,3,2,2,Social Media,Yes
286,Female,From 20 to 29,Self-Employed,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,1,2,2,1,2,2,1,Starbucks Website/Apps;Social Media,No
287,Female,From 30 to 39,Employed,"$25,000 - $50,000",Never,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,5,1,2,5,1,4,2,Social Media,No
288,Male,From 30 to 39,Housewife,"Less than $25,000",Rarely,Take away,More than 3 hours,Yes,Coffee;Pastries,Between $15-$20,4,5,5,3,2,3,2,Starbucks Website/Apps;Social Media;Emails;Billboards,No
289,Male,Below 20,Self-Employed,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,3,5,5,4,2,1,1,Social Media,No
290,Female,From 30 to 39,Student,"$100,000-$150,000",Daily,Take away,Between 1 hour to 2 hours,No,Coffee;Pastries,Between $15-$20,1,4,3,1,5,1,1,Social Media,No
291,Female,Above 40,Employed,"$50,000 - $100,000",Daily,Take away,More than 3 hours,No,Cold drinks,Between $15-$20,3,5,3,3,3,2,2,Through friends and word of mouth,Yes
292,Female,Below 20,Student,"More than $150,000",Monthly,Dine in,Below 30 minutes,No,Coffee,More than $20,1,4,4,1,2,4,2,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
293,Female,Below 20,Housewife,"More than $150,000",Never,Drive-thru,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $15-$20,5,5,3,5,2,5,5,Social Media;Through friends and word of mouth,No
294,Female,From 20 to 29,Student,"$50,000 - $100,000",Weekly,Take away,Below 30 minutes,No,Cold drinks,Between $10-$15,3,2,3,5,5,1,2,Social Media,No
295,Female,From 30 to 39,Student,"$100,000-$150,000",Daily,Dine in,Between 2 hours to 3 hours,No,Coffee,More than $20,2,4,2,4,3,5,2,Social Media;In Store displays,No
296,Female,Above 40,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks,Between $10-$15,3,1,3,3,1,3,3,Social Media;Through friends and word of mouth,No
297,Male,From 30 to 39,Housewife,"$100,000-$150,000",Weekly,Take away,Between 2 hours to 3 hours,Yes,Cold drinks;Juices;Pastries,Between $15-$20,2,3,4,2,4,2,1,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
298,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Daily,Take away,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,4,1,5,2,3,1,5,Social Media,No
299,Male,Above 40,Self-Employed,"$100,000-$150,000",Weekly,Take away,Below 30 minutes,No,Coffee,Between $15-$20,2,2,4,2,4,3,5,Social Media;Through friends and word of mouth,Yes
300,Male,Below 20,Housewife,"$100,000-$150,000",Daily,Take away,Below 30 minutes,No,Coffee,More than $20,1,3,5,3,5,3,5,Starbucks Website/Apps,No
301,Male,From 30 to 39,Self-Employed,"Less than $25,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks,Between $15-$20,3,5,4,1,3,3,2,In Store displays,No
302,Female,Above 40,Student,"More than $150,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,3,4,1,3,3,2,3,Through friends and word of mouth,No
303,Female,From 20 to 29,Self-Employed,"Less than $25,000",Never,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,3,4,2,1,4,4,2,Social Media,No
304,Female,Below 20,Housewife,"$100,000-$150,000",Daily,Take away,Below 30 minutes,No,Cold drinks,Between $15-$20,3,5,4,3,3,4,5,Starbucks Website/Apps;Social Media,No
305,Female,Below 20,Student,"More than $150,000",Never,Take away,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,4,2,3,2,5,3,2,Social Media,No
306,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Between 30 minutes to 1 hour,No,Coffee;Cold drinks,More than $20,5,5,3,1,4,2,4,In Store displays,Yes
307,Female,From 30 to 39,Employed,"$25,000 - $50,000",Never,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,2,3,1,2,5,4,4,Social Media,Yes
308,Female,Above 40,Employed,"$100,000-$150,000",Rarely,Drive-thru,Below 30 minutes,Yes,Coffee,More than $20,5,2,1,5,1,3,5,Social Media;Through friends and word of mouth,Yes
309,Female,From 20 to 29,Self-Employed,"$25,000 - $50,000",Daily,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,5,3,3,4,2,2,1,Social Media,No
310,Male,Above 40,Student,"More than $150,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,5,2,2,3,2,5,4,Through friends and word of mouth,Yes
311,Male,From 30 to 39,Housewife,"$25,000 - $50,000",Rarely,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks;Pastries;Sandwiches,More than $20,1,1,5,5,4,5,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
312,Male,Above 40,Self-Employed,"More than $150,000",Daily,Take away,Between 2 hours to 3 hours,No,Never,Between $15-$20,1,5,3,4,3,4,4,Never hear,Yes
313,Female,Below 20,Student,"Less than $25,000",Never,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,1,1,2,3,3,1,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
314,Male,From 20 to 29,Housewife,"Less than $25,000",Monthly,Dine in,More than 3 hours,Yes,Cold drinks,More than $20,3,3,1,2,1,4,1,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
315,Female,Below 20,Employed,"More than $150,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,1,3,2,1,2,3,2,Social Media;Through friends and word of mouth,Yes
316,Male,From 30 to 39,Employed,"$50,000 - $100,000",Daily,Drive-thru,More than 3 hours,No,Coffee;Sandwiches,Between $10-$15,2,3,4,4,3,5,3,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",Yes
317,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Daily,Take away,Between 2 hours to 3 hours,Yes,Coffee,More than $20,5,5,3,2,1,4,4,Through friends and word of mouth,No
318,Male,From 30 to 39,Student,"Less than $25,000",Weekly,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks,Less than $10,2,3,1,5,4,1,4,Starbucks Website/Apps;Social Media,No
319,Male,Above 40,Self-Employed,"Less than $25,000",Never,Take away,Between 1 hour to 2 hours,Yes,Coffee;Cold drinks,Less than $10,3,4,2,2,2,1,3,Social Media,No
320,Male,Above 40,Housewife,"More than $150,000",Never,Take away,Below 30 minutes,Yes,Coffee,More than $20,5,1,1,5,4,2,4,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",No
321,Female,Above 40,Employed,"More than $150,000",Rarely,Take away,Below 30 minutes,No,Coffee,Less than $10,3,5,1,5,1,5,2,Social Media;Emails;Through friends and word of mouth,Yes
322,Male,From 20 to 29,Employed,"Less than $25,000",Rarely,Dine in,More than 3 hours,Yes,Coffee,Less than $10,5,2,2,1,3,5,3,Social Media,No
323,Female,From 20 to 29,Student,"$25,000 - $50,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,Less than $10,3,5,5,3,2,2,2,Social Media;Through friends and word of mouth,Yes
324,Male,Above 40,Student,"$100,000-$150,000",Weekly,Take away,Between 1 hour to 2 hours,No,Cold drinks,Less than $10,5,3,1,5,4,3,3,"Social Media;Deal sites (fave, iprice, etc...)",No
325,Male,Above 40,Housewife,"$50,000 - $100,000",Never,Take away,More than 3 hours,Yes,Coffee,Between $15-$20,2,4,3,4,2,1,3,Starbucks Website/Apps,Yes
326,Female,Below 20,Self-Employed,"$25,000 - $50,000",Weekly,Dine in,Below 30 minutes,No,Never buy any,More than $20,2,5,1,3,2,1,1,Starbucks Website/Apps,No
327,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $15-$20,1,4,4,1,2,3,2,Starbucks Website/Apps,No
328,Female,Below 20,Self-Employed,"$25,000 - $50,000",Monthly,Take away,Below 30 minutes,No,Coffee,Between $10-$15,1,3,3,4,5,2,1,Social Media,Yes
329,Male,Above 40,Self-Employed,"More than $150,000",Monthly,never,Below 30 minutes,No,Coffee,Less than $10,2,4,1,3,4,1,4,In Store displays,Yes
330,Female,From 20 to 29,Self-Employed,"$50,000 - $100,000",Monthly,Take away,Between 1 hour to 2 hours,No,Jaws chip ,Between $10-$15,5,5,4,4,5,1,1,Starbucks Website/Apps;Emails,Yes
331,Male,From 30 to 39,Employed,"$25,000 - $50,000",Daily,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,3,2,4,1,4,5,5,Social Media;Through friends and word of mouth,No
332,Female,From 20 to 29,Self-Employed,"More than $150,000",Daily,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,3,1,4,5,4,4,3,Social Media;Through friends and word of mouth,No
333,Male,From 20 to 29,Housewife,"$100,000-$150,000",Daily,Take away,Between 1 hour to 2 hours,No,cake ,Between $15-$20,2,5,2,1,4,1,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
334,Male,Below 20,Employed,"Less than $25,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,3,2,3,1,2,1,4,Starbucks Website/Apps,No
335,Male,Below 20,Self-Employed,"More than $150,000",Never,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,5,1,3,4,2,1,3,Emails,Yes
336,Female,Above 40,Employed,"$50,000 - $100,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Pastries,Between $15-$20,4,1,2,4,3,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
337,Female,Below 20,Student,"Less than $25,000",Rarely,Take away,Below 30 minutes,Yes,Coffee,More than $20,2,5,3,5,3,4,3,Social Media,No
338,Male,Above 40,Self-Employed,"More than $150,000",Daily,Drive-thru,More than 3 hours,Yes,Coffee,Less than $10,2,5,4,1,5,1,3,Social Media;In Store displays,No
339,Male,From 20 to 29,Self-Employed,"Less than $25,000",Monthly,Take away,Between 30 minutes to 1 hour,No,Coffee,More than $20,4,4,4,2,4,1,5,Social Media;Through friends and word of mouth,Yes
340,Female,From 20 to 29,Employed,"Less than $25,000",Never,Take away,Between 2 hours to 3 hours,Yes,Cold drinks,Between $15-$20,5,3,5,2,3,2,5,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
341,Male,From 20 to 29,Employed,"Less than $25,000",Daily,Drive-thru,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,5,4,4,4,5,2,3,Social Media;Through friends and word of mouth,No
342,Female,Above 40,Housewife,"Less than $25,000",Weekly,Dine in,Between 1 hour to 2 hours,Yes,Pastries,More than $20,3,2,5,3,5,2,1,Social Media,No
343,Female,Above 40,Employed,"$25,000 - $50,000",Never,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,3,5,4,4,1,2,5,Starbucks Website/Apps;Emails,Yes
344,Female,From 30 to 39,Employed,"$25,000 - $50,000",Rarely,Drive-thru,More than 3 hours,Yes,Coffee,More than $20,4,3,1,1,5,2,4,Social Media,Yes
345,Male,From 20 to 29,Self-Employed,"$50,000 - $100,000",Weekly,Dine in,Below 30 minutes,Yes,Cold drinks,Between $15-$20,2,5,5,1,2,4,1,Through friends and word of mouth,No
346,Male,From 30 to 39,Housewife,"More than $150,000",Never,Drive-thru,Between 30 minutes to 1 hour,No,Coffee,More than $20,5,2,4,4,1,5,5,Through friends and word of mouth,No
347,Female,From 30 to 39,Self-Employed,"More than $150,000",Weekly,Dine in,Below 30 minutes,No,Coffee,Between $10-$15,4,5,4,1,2,5,3,Social Media;Emails,Yes
348,Female,Above 40,Self-Employed,"More than $150,000",Weekly,Take away,More than 3 hours,No,Coffee;Pastries,Less than $10,2,3,1,2,4,2,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
349,Male,Below 20,Employed,"$50,000 - $100,000",Weekly,Take away,Between 2 hours to 3 hours,No,Pastries,Between $15-$20,4,5,4,1,1,5,3,Social Media;Emails,No
350,Female,From 20 to 29,Employed,"$100,000-$150,000",Rarely,Dine in,Below 30 minutes,No,Cold drinks,Between $10-$15,3,1,5,2,3,2,3,Starbucks Website/Apps,No
351,Male,From 20 to 29,Housewife,"More than $150,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,4,4,5,2,4,4,1,Starbucks Website/Apps;Social Media,No
352,Male,From 20 to 29,Student,"$50,000 - $100,000",Never,Never buy,More than 3 hours,Yes,Cold drinks;Never,More than $20,1,5,1,3,5,3,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
353,Male,Above 40,Housewife,"Less than $25,000",Daily,Dine in,Below 30 minutes,No,never,Between $10-$15,1,2,5,2,1,4,2,Through friends and word of mouth,No
354,Male,From 30 to 39,Employed,"$100,000-$150,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Coffee;Pastries,More than $20,4,5,3,4,1,4,4,Social Media,No
355,Male,From 30 to 39,Student,"$100,000-$150,000",Monthly,Take away,More than 3 hours,Yes,Cold drinks,More than $20,5,5,1,4,1,3,2,Social Media,No
356,Male,From 20 to 29,Housewife,"$100,000-$150,000",Daily,Take away,Between 1 hour to 2 hours,No,Cold drinks,Between $10-$15,1,5,5,4,1,5,2,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
357,Male,From 30 to 39,Self-Employed,"$25,000 - $50,000",Rarely,Take away,Between 2 hours to 3 hours,No,Nothing ,Less than $10,1,5,2,1,1,2,1,Billboards,Yes
358,Female,From 20 to 29,Self-Employed,"More than $150,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Cold drinks,Between $15-$20,2,3,2,4,4,5,1,Social Media,No
359,Female,From 20 to 29,Student,"More than $150,000",Daily,Drive-thru,More than 3 hours,No,Cold drinks,Between $15-$20,1,4,3,5,4,5,2,In Store displays,No
360,Female,From 20 to 29,Self-Employed,"$50,000 - $100,000",Never,Take away,Between 1 hour to 2 hours,No,Cold drinks,More than $20,5,2,4,3,2,5,5,Social Media;Through friends and word of mouth,No
361,Female,From 20 to 29,Housewife,"More than $150,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,1,4,5,1,4,5,2,Social Media,No
362,Male,Below 20,Self-Employed,"More than $150,000",Daily,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,2,4,2,2,3,2,2,Starbucks Website/Apps;Social Media,No
363,Male,Above 40,Student,"$50,000 - $100,000",Monthly,Take away,More than 3 hours,Yes,Coffee;Cold drinks;Juices;Pastries;Sandwiches,Less than $10,2,4,1,1,1,2,5,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
364,Female,Above 40,Housewife,"More than $150,000",Rarely,Take away,Between 2 hours to 3 hours,No,Coffee;Cold drinks,More than $20,3,4,5,1,3,4,4,Social Media;Through friends and word of mouth;In Store displays,Yes
365,Female,Above 40,Student,"Less than $25,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,1,3,4,1,4,5,5,Social Media;Through friends and word of mouth;Billboards,Yes
366,Male,Below 20,Student,"$100,000-$150,000",Rarely,Drive-thru,Between 2 hours to 3 hours,No,Coffee,More than $20,2,3,5,5,4,5,4,In Store displays,No
367,Male,From 20 to 29,Employed,"More than $150,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,5,1,2,2,2,2,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",Yes
368,Male,From 20 to 29,Housewife,"More than $150,000",Weekly,Take away,Between 2 hours to 3 hours,No,Cold drinks;Pastries,Between $15-$20,5,2,4,1,5,4,3,Social Media;In Store displays,Yes
369,Male,Above 40,Student,"$100,000-$150,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,More than $20,3,3,5,5,2,3,3,In Store displays;Billboards,Yes
370,Male,From 20 to 29,Self-Employed,"Less than $25,000",Daily,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,4,5,2,5,2,2,3,Through friends and word of mouth,Yes
371,Male,Above 40,Self-Employed,"$25,000 - $50,000",Daily,Drive-thru,More than 3 hours,Yes,Coffee;Sandwiches,More than $20,2,4,5,1,4,5,1,Starbucks Website/Apps;Social Media,Yes
372,Male,Below 20,Employed,"More than $150,000",Monthly,Dine in,More than 3 hours,Yes,Cold drinks,Between $15-$20,3,1,4,1,4,4,2,Social Media,Yes
373,Male,From 20 to 29,Self-Employed,"$25,000 - $50,000",Daily,Take away,Between 2 hours to 3 hours,Yes,Coffee,More than $20,3,4,3,2,1,2,1,Starbucks Website/Apps;Social Media,No
374,Female,Above 40,Employed,"More than $150,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks,Less than $10,5,3,5,5,1,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
375,Female,Above 40,Housewife,"$25,000 - $50,000",Never,Dine in,More than 3 hours,Yes,Cold drinks,Less than $10,2,1,4,5,2,1,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
376,Male,From 20 to 29,Housewife,"$25,000 - $50,000",Weekly,Take away,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,1,5,5,2,1,2,4,Social Media;Through friends and word of mouth,No
377,Male,Below 20,Housewife,"$50,000 - $100,000",Daily,Dine in,Below 30 minutes,No,Cold drinks,More than $20,3,2,5,2,3,4,1,Social Media,No
378,Male,From 30 to 39,Self-Employed,"$100,000-$150,000",Monthly,Take away,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,1,5,4,1,2,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
379,Female,From 30 to 39,Self-Employed,"$100,000-$150,000",Rarely,Take away,Between 2 hours to 3 hours,Yes,Coffee;Sandwiches,Between $15-$20,5,2,3,2,4,2,5,Social Media,No
380,Female,From 30 to 39,Student,"$25,000 - $50,000",Rarely,Dine in,More than 3 hours,No,Coffee,Between $15-$20,1,5,4,5,4,1,5,Social Media,Yes
381,Male,From 20 to 29,Employed,"$50,000 - $100,000",Monthly,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,1,1,5,1,1,3,1,Social Media;Through friends and word of mouth;In Store displays,Yes
382,Male,Below 20,Self-Employed,"$100,000-$150,000",Never,I dont like coffee,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,4,2,1,4,2,4,1,Starbucks Website/Apps,Yes
383,Female,From 30 to 39,Housewife,"$100,000-$150,000",Rarely,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,4,1,1,1,4,3,4,Social Media,Yes
384,Male,Below 20,Student,"$100,000-$150,000",Weekly,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,1,3,5,2,5,5,5,Social Media;Through friends and word of mouth,No
385,Male,Below 20,Housewife,"$50,000 - $100,000",Weekly,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,3,4,2,2,3,2,1,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
386,Male,Below 20,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Below 30 minutes,No,Cold drinks,Less than $10,1,3,2,5,3,2,3,Emails,Yes
387,Female,From 30 to 39,Employed,"Less than $25,000",Daily,Drive-thru,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,4,4,1,2,1,5,2,Social Media;Emails,Yes
388,Male,From 20 to 29,Student,"Less than $25,000",Monthly,Dine in,Between 2 hours to 3 hours,No,Coffee,More than $20,4,2,5,3,5,5,4,Social Media,No
389,Female,Above 40,Employed,"More than $150,000",Rarely,Drive-thru,Below 30 minutes,Yes,Coffee,Between $15-$20,5,2,4,3,1,2,4,Through friends and word of mouth,Yes
390,Male,Above 40,Housewife,"$25,000 - $50,000",Weekly,Drive-thru,Below 30 minutes,Yes,Cold drinks;Pastries;Sandwiches,Between $15-$20,3,5,2,5,1,2,5,Social Media;Through friends and word of mouth,Yes
391,Female,From 20 to 29,Employed,"$100,000-$150,000",Rarely,Take away,Between 2 hours to 3 hours,Yes,Coffee;Juices;Pastries;Sandwiches,Less than $10,1,2,1,2,5,4,4,Through friends and word of mouth;In Store displays,No
392,Male,Above 40,Self-Employed,"$50,000 - $100,000",Weekly,Never,More than 3 hours,Yes,Coffee;Cold drinks,Between $15-$20,1,2,5,3,1,5,4,Social Media;In Store displays;Billboards,No
393,Male,Above 40,Student,"Less than $25,000",Daily,never,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,1,1,3,2,1,3,1,Application offer,Yes
394,Female,From 20 to 29,Housewife,"$50,000 - $100,000",Daily,Dine in,More than 3 hours,No,Coffee,Between $15-$20,5,4,2,3,5,5,1,Social Media,Yes
395,Male,Above 40,Housewife,"More than $150,000",Never,Take away,Below 30 minutes,Yes,Coffee,Between $10-$15,5,1,1,1,5,3,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,No
396,Female,Below 20,Self-Employed,"$25,000 - $50,000",Never,Take away,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,2,2,5,4,5,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
397,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Rarely,Never ,Between 1 hour to 2 hours,Yes,Coffee;Pastries;Sandwiches,Between $10-$15,3,5,2,5,4,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
398,Female,From 20 to 29,Self-Employed,"More than $150,000",Never,Take away,Between 1 hour to 2 hours,Yes,Coffee;Pastries,More than $20,2,2,4,3,5,3,1,In Store displays,Yes
399,Male,Below 20,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,4,5,1,5,1,4,5,Social Media,No
400,Male,Below 20,Student,"$25,000 - $50,000",Monthly,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,4,3,3,4,5,4,3,Social Media,Yes
401,Female,From 20 to 29,Self-Employed,"More than $150,000",Never,Dine in,Below 30 minutes,No,Coffee,Between $10-$15,3,3,4,2,3,4,3,Social Media;Through friends and word of mouth;Billboards,Yes
402,Female,Above 40,Student,"$100,000-$150,000",Daily,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,1,5,3,2,4,4,3,Social Media,Yes
403,Male,Below 20,Employed,"Less than $25,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Between $15-$20,4,5,3,2,1,1,2,Social Media,Yes
404,Female,From 20 to 29,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,4,5,3,4,4,2,3,Starbucks Website/Apps;Social Media,Yes
405,Male,From 20 to 29,Self-Employed,"$50,000 - $100,000",Daily,Take away,Between 2 hours to 3 hours,Yes,Cold drinks;Juices;Pastries,Less than $10,3,4,5,5,3,2,4,In Store displays,Yes
406,Female,Below 20,Employed,"$50,000 - $100,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,2,4,3,1,1,4,5,Starbucks Website/Apps;Social Media,Yes
407,Female,Below 20,Housewife,"Less than $25,000",Monthly,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,1,3,5,1,4,5,2,Social Media,Yes
408,Female,Above 40,Employed,"More than $150,000",Weekly,Take away,More than 3 hours,Yes,Coffee,More than $20,5,3,4,4,4,2,2,Starbucks Website/Apps;Social Media,No
409,Male,From 20 to 29,Self-Employed,"Less than $25,000",Weekly,Take away,More than 3 hours,No,Coffee,Between $10-$15,4,4,5,2,4,2,1,Social Media,Yes
410,Male,From 20 to 29,Employed,"$100,000-$150,000",Never,Never ,Between 2 hours to 3 hours,No,Coffee;Pastries,Less than $10,2,1,2,3,5,1,3,Starbucks Website/Apps;Social Media;Emails;Billboards,No
411,Female,Below 20,Employed,"More than $150,000",Daily,Take away,More than 3 hours,Yes,Coffee,Between $15-$20,3,2,4,1,1,2,3,Social Media,Yes
412,Male,Above 40,Self-Employed,"More than $150,000",Daily,Dine in,Below 30 minutes,No,Coffee;Pastries,Between $15-$20,2,5,5,5,4,2,4,Social Media,No
413,Male,From 30 to 39,Self-Employed,"Less than $25,000",Daily,Take away,Below 30 minutes,Yes,Cold drinks,Less than $10,5,4,3,5,2,5,1,Through friends and word of mouth,No
414,Male,Below 20,Student,"$50,000 - $100,000",Never,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,1,5,3,1,5,1,3,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
415,Female,From 20 to 29,Self-Employed,"More than $150,000",Daily,Dine in,Below 30 minutes,Yes,Cold drinks,Between $10-$15,2,5,2,4,5,2,2,Social Media;Through friends and word of mouth,No
